system:index,LST_growing_amplitude_C,LST_growing_max_C,LST_growing_mean_C,LST_growing_min_C,LST_spring_amplitude_C,LST_spring_max_C,LST_spring_mean_C,LST_spring_min_C,LST_summer_amplitude_C,LST_summer_max_C,LST_summer_mean_C,LST_summer_min_C,area_m2,cls_bin,cls_det,is_moor,poly_id,.geo
000000000000000000ab,25.45806589580319,33.881412727496404,20.308874977558105,8.423346831693213,12.742517061534008,21.165863893227222,15.82539448539405,8.423346831693213,14.482684960202603,33.881412727496404,26.473660654283677,19.398727767293803,2528.7,Kein_Niedermoor,Forest,0,P0172,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ae,28.935016161242746,41.16017629774568,26.68964699039019,12.22516013650293,18.614240559884358,30.839400696387287,21.302791266742005,12.22516013650293,14.80077243962428,41.16017629774568,35.15470598469448,26.3594038581214,2517.0,Kein_Niedermoor,Forest,0,P0175,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b2,23.198205616150524,29.93699291507961,19.67200316545298,6.738787298929092,16.679541881331406,23.418329180260496,15.939109903292342,6.738787298929092,10.19280275010129,29.93699291507961,25.271343058693937,19.744190164978324,2505.2,Kein_Niedermoor,Forest,0,P0179,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b5,20.91844045872831,29.07213123699423,20.101750178243776,8.153690778265917,14.64285695202312,22.79654773028904,16.74583084084578,8.153690778265917,8.02266590289017,29.07213123699423,25.7095950593894,21.049465334104056,2517.0,Kein_Niedermoor,Forest,0,P0182,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bb,22.813232688000003,28.49131319930204,19.23290583811153,5.678080511302036,18.28115838942281,23.959238900724845,16.298940395559747,5.678080511302036,8.360444804375845,28.49131319930204,24.162705143624176,20.130868394926193,2552.2,Kein_Niedermoor,Forest,0,P0188,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c0,19.809415150887112,32.688052874193595,23.102816923866953,12.878637723306477,19.741036374435488,32.619674097741964,21.004192382943568,12.878637723306477,15.024710879758093,31.98940315443552,26.250753735252033,16.96469227467743,2517.0,Kein_Niedermoor,Forest,0,P0193,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c3,20.006531748104212,27.858530073111453,18.390857391932748,7.851998325007243,16.82706085450073,24.67905917950797,15.693349090882794,7.851998325007243,5.874230936526767,27.858530073111453,24.377720897316955,21.98429913658469,2539.0,Kein_Niedermoor,Forest,0,P0196,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c8,18.66080137884226,27.5393236090883,20.225275585806322,8.878522230246036,18.30406594558613,27.182588175832166,18.741747507324813,8.878522230246036,7.459460136989871,27.385393993487718,24.083163130850235,19.92593385649785,2512.6,Kein_Niedermoor,Forest,0,P0201,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000cb,15.198382673520722,29.00031201633137,21.560294938350314,13.80192934281065,11.16933597985209,24.971265322662738,19.357136774046936,13.80192934281065,7.410373541094659,29.00031201633137,25.284268987289963,21.589938475236714,2434.1,Kein_Niedermoor,Forest,0,P0204,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000cf,15.37063260169973,28.41824155031164,19.840759819206816,13.047608948611911,11.323454852294631,24.371063800906544,17.99818364410561,13.047608948611911,6.657944697280468,28.41824155031164,23.905451369178486,21.76029685303117,2578.9,Kein_Niedermoor,Forest,0,P0208,"{""type"":""MultiPoint"",""coordinates"":[]}"
